day,cola_300ml,cola_600ml,guazi,haipai_hainorim,haipiao_haibo,redbull,haixiangcuilan,luosifen_335g,qiaqia_oatmeal,spicy_chicken_noodle,TeLunSuMilk,wangzai_milk,xiangbage_honey_chicken_wings
2020/7/24,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0
2020/7/25,2.0,3.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,2.0,1.0,5.0
2020/7/26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0
2020/7/27,0.0,1.0,0.0,3.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,7.0,0.0
2020/7/28,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,20.0,0.0,26.0
2020/7/29,2.0,1.0,0.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0
2020/7/30,3.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0
2020/7/31,3.0,3.0,4.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0
2020/8/1,1.0,0.0,0.0,0.0,0.0,14.0,4.0,4.0,0.0,0.0,3.0,4.0,0.0
2020/8/2,0.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0
2020/8/3,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
2020/8/4,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,2.0
2020/8/5,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0
2020/8/6,3.0,3.0,2.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,5.0,7.0,1.0
2020/8/7,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
2020/8/8,0.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0
2020/8/9,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2020/8/10,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0
2020/8/11,0.0,0.0,3.0,3.0,1.0,4.0,7.0,4.0,0.0,0.0,3.0,5.0,0.0
2020/8/12,1.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,3.0,0.0,21.0
2020/8/13,2.0,0.0,1.0,0.0,0.0,4.0,7.0,1.0,0.0,0.0,0.0,6.0,0.0
